À½½ÄÀÌ¸§,°Ë»ö·®,1¿ù,2¿ù,3¿ù,4¿ù,5¿ù,6¿ù,7¿ù,8¿ù,9¿ù,10¿ù,11¿ù,12¿ù,10´ë,20´ë,30´ë,40´ë,50´ë,³²¼º,¿©¼º
»ï°èÅÁ,72000,3.1,3.2,3.9,4.5,5.4,8.3,47.6,10.6,3.3,3.3,3.6,3.2,2.3,18.4,31,31.5,16.8,47.3,52.9
±èÄ¡Âò,56600,9.3,8.9,9,8.3,7.9,7.4,7.5,8.4,7.8,7.8,8.6,9.3,3.7,19.2,33.2,32.4,11.6,30,70
ºÎ´ëÂî°³,160000,8.5,8.5,8.4,8,8,7.8,8.1,9.3,8.7,8.6,8.1,8.2,5,22.8,31,29.2,11.9,40.5,59.5
ÃÊ¹ä,168000,7.4,7.8,8.1,8.6,9,8.4,8,8.2,9.2,8.8,8.4,8.2,10.3,32.9,26.1,23.6,7.1,43.3,56.8
ÇÖµµ±×,41900,9,8.5,9.3,9.1,8.9,8,7.8,8.2,7.5,7.8,7.8,8.1,8.7,23.3,31.6,28.3,8,36.9,63.1
¸¸µÎ,59000,10.7,9.2,7.5,7.5,8,7.6,7.2,7.7,8,8.1,8.9,9.6,6.5,23.4,29,28.1,13,38.3,61.7
À¯ºÎÃÊ¹ä,53200,6.9,6.8,9.3,11.7,9.8,8.5,8,8.5,8,9.1,6.9,6.4,6.8,24.7,32.9,26,9.6,21.1,78.9
Å¸ÄÚ¾ß³¢,98700,8.2,7.7,7.7,7.6,7.8,8.4,7.5,8.6,9.2,9.5,9.3,8.5,23.1,33.6,19.4,17,6.8,29,71
´ß¹ß,76500,7.6,7.5,7.3,7.1,7.1,7.8,7.8,7.9,19.1,7,6.7,7.1,23.1,33.6,19.4,17,6.8,29,71
¹Ì¿ª±¹,65900,9.2,9,9,8.3,7.7,7.3,7.3,8.2,8.2,8.6,8.6,8.7,3.6,18.9,37.8,27.6,12.1,35.4,64.7
ÀâÃ¤,78000,11.9,10.7,7.7,7,6.6,6.2,6.3,7.2,12.4,7.9,7.7,8.5,2,11.1,30.5,39.5,16.9,13.6,86.4
Åä½ºÆ®,48100,8.3,8.8,9.5,8.8,8.6,8,7.7,8.9,8.3,8.4,7.4,7.3,5.2,20.6,34.1,31.9,8.3,35.1,64.9
»ø·¯µå,185000,7.8,8.3,9,9,9,9.2,8.9,8.9,8.4,7.5,6.8,7.2,7.9,33.2,28.5,21.4,8.9,23.5,76.59
¼öÇÁ,7220,9,8.3,8.4,7.9,7.5,7.5,7.2,7.5,8,9.1,9.7,9.8,15,33.9,25.5,17,7.9,31.6,68.4
