음식이름,검색량,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,10대,20대,30대,40대,50대,남성,여성
유부초밥,53200,6.9,6.8,9.3,11.7,9.8,8.5,8,8.5,8,9.1,6.9,6.4,6.8,24.7,32.9,26,9.6,21.1,78.9
타코야끼,98700,8.2,7.7,7.7,7.6,7.8,8.4,7.5,8.6,9.2,9.5,9.3,8.5,23.1,33.6,19.4,17,6.8,29,71
닭발,76500,7.6,7.5,7.3,7.1,7.1,7.8,7.8,7.9,19.1,7,6.7,7.1,23.1,33.6,19.4,17,6.8,29,71
미역국,65900,9.2,9,9,8.3,7.7,7.3,7.3,8.2,8.2,8.6,8.6,8.7,3.6,18.9,37.8,27.6,12.1,35.4,64.7
잡채,78000,11.9,10.7,7.7,7,6.6,6.2,6.3,7.2,12.4,7.9,7.7,8.5,2,11.1,30.5,39.5,16.9,13.6,86.4
토스트,48100,8.3,8.8,9.5,8.8,8.6,8,7.7,8.9,8.3,8.4,7.4,7.3,5.2,20.6,34.1,31.9,8.3,35.1,64.9
샐러드,185000,7.8,8.3,9,9,9,9.2,8.9,8.9,8.4,7.5,6.8,7.2,7.9,33.2,28.5,21.4,8.9,23.5,76.59
수프,7220,9,8.3,8.4,7.9,7.5,7.5,7.2,7.5,8,9.1,9.7,9.8,15,33.9,25.5,17,7.9,31.6,68.4
샌드위치,106000,6.9,7.5,9.2,10.1,9.5,9,8.6,8.6,8.3,8.4,7.1,6.8,5.6,23.7,28.5,30.5,11.7,24.9,75.2
막국수,48300,4.4,5.4,6.5,9.2,12.6,13.9,14.5,13,7.2,5.4,3.9,4,5.1,22.2,28.1,28.7,16,49,51
스테이크,56600,8.5,7.6,7.6,7.7,7.5,7.3,7.3,7.7,7.5,7.9,8.2,15.2,6.8,22.1,28.6,29.6,13,43.4,56.6
만둣국,10500,11.9,9.2,6.8,6.6,6.9,6.8,6.5,6.9,7.6,9.2,10.4,11.2,7.1,38.4,37.1,13.8,3.6,25.9,74.1
김치전,41400,9.1,8.8,10.4,9.2,8.6,9.1,9.8,8,6.9,6.4,6.5,7.2,4,20.8,37.4,29.4,8.4,24.8,75.2
김치볶음밥,58900,10.1,9.3,9,8.4,7.9,8.1,8.1,8.3,7,7.5,7.7,8.5,6.7,21.9,35.6,25.6,10.2,32.7,67.3
마파두부,36000,9.2,8,8.8,8.2,7.6,8.4,7.6,9.1,8.5,8,7.9,8.7,4,15.8,30.5,34.2,15.5,24,76
수제비,60900,7.5,7.1,7.7,7.4,8.6,7.7,8.6,9.7,8.9,9.9,8.5,8.6,2.9,16.9,31.9,34.2,14.1,29.9,70.1
콩나물국,80100,9.6,8.7,9.7,8.4,7.5,7.5,7.2,8.2,8.4,8.5,8.1,8.2,1.5,16.6,42.5,28.9,10.5,24.5,75.5
소고기뭇국,11000,9.7,8.8,7.1,6.1,6.1,5,4.8,6.1,12.3,9.6,12.7,11.6,5.4,24.8,42.6,17.9,9.2,20.4,79.6
오므라이스,29400,9.9,9,9.7,8,8.4,8.2,8.7,8.4,6.7,7,7.1,8.9,7.3,20.7,36,28.4,7.6,22.7,77.3
하이라이스,25300,8.3,7.8,8.9,8.6,7.8,8.6,8.1,8.3,8.1,7.6,9.7,8.1,10.2,24.8,31.6,23.4,10.1,33.3,66.7
감자튀김,23100,8.2,8.1,8.5,8,7.9,10.3,9.9,8.8,7.7,7.5,7.2,7.9,6.4,22.9,33.7,27.7,9.3,37.1,62.9
닭꼬치,40400,6.7,6.8,7.8,8.8,9.3,8.6,9.8,9,8.2,8.8,8,8.1,6.7,26.6,31.2,27.3,8.2,46.3,53.7
찜닭,63500,8.3,8.5,9.1,8.4,8.5,8.3,9.1,8.9,7.4,7.6,7.8,8.1,6.8,23.5,28.9,29.3,11.4,35.6,64.4
제육볶음,77100,9,8.9,9.9,9,8.4,8.5,8,8.4,7,7.6,7.5,7.9,3.1,18.8,34.9,30.9,12.3,31.9,68.1
갈비찜,66400,12.3,10.5,6.7,6.6,6.5,6.3,6.7,7.7,13.2,7.9,7.3,8.4,2.1,16.4,28,30.1,23.4,29.8,70.2
갈비탕,113000,8.8,8.4,7.8,7.3,7.3,7.4,8.2,9.1,9.3,8.9,8.7,9,2.4,14.8,28.7,35.1,19,40.9,59.1
주먹밥,31000,7.3,7.1,8.6,10.6,9.8,9,8.3,8.7,8.1,9,7,6.4,4.1,17.6,33.3,35.1,9.9,20.9,79.1
푸팟퐁커리,26800,7.6,7.8,8,7.1,7.9,8.5,8.8,9.9,10.8,8.8,7.3,7.4,6,34.8,32.1,19.2,7.9,36.9,63.1
볶음밥,51800,8.9,8.4,8.8,8.6,8.4,8.8,9.1,9.2,7.4,7.6,7.4,7.6,5,17.1,27.2,32.1,18.6,38.9,61.1
꿔바로우,47300,7.4,9.7,8.1,7.3,10.1,7.7,11.8,7.9,7.4,7.6,7.6,7.5,15.9,24.5,19.4,26.2,14,41,59
팔보채,63700,8.6,8.8,8.5,7.8,8.7,7.8,8.3,8.8,7.6,7.5,7.6,9.9,2.9,18.8,30.9,30,17.5,48.1,51.9
칠리새우,9460,9.3,8.5,8.2,7.6,7.7,7.7,8,8.1,8.7,8.7,7.9,9.6,5.3,21.8,27.8,31.3,13.9,33.5,66.5
크림새우,6240,8.2,7.7,8,7.4,9.9,9.4,7.8,7.6,8,8.7,7.3,10,9.7,29.1,29.1,23.3,8.9,33.5,66.5
전,33600,9.7,9.6,7.7,7.8,7.6,7.8,7.5,7.9,12.3,7.7,7.3,7.1,6.9,19.3,24.5,29.9,19.4,36,64
수박화채,1230,0.6,0.7,0.9,2.4,12.1,25.6,36.5,18,1.4,0.6,0.5,0.5,9.5,21.6,29.6,30.9,8.5,32.6,67.4
떡꼬치,10500,9.3,8.7,8.4,8.8,8.2,8,7.3,7.3,7.8,8.7,8.9,8.5,7.4,30.6,35.9,22.1,3.9,24.3,75.7
나베,17000,8.8,8.1,8.1,7.9,6.8,6.3,6.7,7.5,13.3,7.8,8.7,9.9,13.5,35.9,20.8,17.4,12.4,47.6,52.4
스키야키,39100,7.1,7.5,6.1,5.3,11.2,8.3,6.1,5.6,6.1,8.1,7.5,20.9,9.1,36.8,28.5,17.4,8.2,36.5,63.5
유린기,59400,7.2,8.8,8,8,8.8,9.4,8.5,8.6,8.3,8.1,7.9,8.5,8.9,30,26.6,22,12.5,43.7,56.3
동파육,28200,7.6,9,8.6,7.1,8.8,7.6,7.4,9.8,9,8.5,8.6,8.3,13.3,25.9,26.8,21.8,12.3,45.9,54.1
베이징덕,15000,6.4,6.1,18,7.1,7.6,7.8,7.1,7.2,7.3,7.6,9.3,8.5,7,22.5,34,24.6,11.9,46.7,53.3
돼지껍데기,26200,7.5,7.5,9.5,8.3,7.9,8.7,9.2,10.2,8.1,8.1,7.7,7.4,7.2,25.4,32.7,23.4,11.4,46.3,53.7
육회,62700,8.6,8.3,8.6,8.4,8.6,8,7.5,7.9,8.7,8.4,7.8,9.1,7.2,33.6,28.7,22.3,8.2,48.3,51.7
훠궈,68600,13.5,8.2,7.6,6.7,6.9,6.6,7.7,7.8,9.2,7.9,8.5,9.4,18.8,33.5,22.1,17.6,8,37.9,62.1
멘보샤,26100,8.3,7.3,6.4,9,10.7,8.1,8.9,6.4,6.6,11.2,10.7,6.6,9.6,24.1,24.7,25.4,16.3,45.7,54.3
새우튀김,28700,10.9,10.3,6.7,6,5.7,7.1,5.9,7.6,17.4,10.2,6,6.1,3,11.7,29.7,36.1,19.5,29.5,70.5
도토리묵,30100,7.5,7.7,8,8,8.5,8.6,8.2,8.4,9.7,10.8,7.9,6.7,3.5,18.2,32.3,29.6,16.4,26.6,73.4
국밥,154000,7.2,6.9,7.1,7.6,8.1,8.4,8.3,9.6,9.5,10.2,9.1,8.1,10.6,43.1,27.7,14.8,3.8,57.1,42.9
